title,content,tokens
Page 2,This page intentionally left blank,9
Page 3,CAMBRIDGE TEXTS IN THE HISTORY OF PHILOSOPHY FRIEDRICH NIETZSCHE Beyond Good and Evil,36
Page 4,"CAMBRIDGE TEXTS IN THE HISTORY OF PHILOSOPHY Series editors KARL AMERIKS Professor of Philosophy at the University of Notre Dame DESMOND M. CLARKE Professor of Philosophy at University College Cork The main objective of Cambridge Texts in the History of Philosophy is to expand the range, variety , and quality of texts in the history of philosophy which are available inEnglish. The series includes texts by familiar names (such as Descartes and Kant) andalso by less well-known authors. Wherever possible, texts are published in complete andunabridged form, and translations are specially commissioned for the series. Each volumecontains a critical introduction together with a guide to further reading and any necessaryglossaries and textual apparatus. The volumes are designed for student use at undergrad-uate and postgraduate level and will be of interest not only to students of philosophy , butalso to a wider audience of reader s in the history of science, the history of theology and the history of ideas. For a list of titles published in the series , please see end of book.",233
Page 5,"FRIEDRICH NIETZSCHE Beyond Good and Evil Prelude to a Philosophy of the Future EDITED BY ROLF-PETER HORSTMANN Humboldt-Universit¨ at, Berlin JUDITH NORMAN Trinity University, Texas TRANSLATED BY JUDITH NORMAN",69
Page 6,"  Cambridge, New York, Melbourne, Madrid, Cape Town, Singapore, São PauloCambridge University PressThe Edinburgh Building, Cambridge   , United Kingdom First published in print format ISBN-13 978-0-521-77078-1 hardback ISBN-13 978-0-521-77913-5 paperbackISBN-13 978-0-511-06877-5 eBook (EBL)© Cambridge University Press 20022001Information on this title: www.cambrid ge.org/9780521770781 This book is in copyright. Subject to statutory exception and to the provision ofrelevant collective licensing agreements, no reproduction of any part may take placewithout the written permission of Cambridge University Press. ISBN-10 0-511-06877-8 eBook (EBL) ISBN-10 0-521-77078-5 hardback ISBN-10 0-521-77913-8 paperback Cambridge University Press has no responsibility for the persistence or accuracy ofs for external or third-party internet websites referred to in this book, and does not guarantee that any content on such websites is, or will remain, accurate or appropriate.Published in the United States by Cambridge University Press, New Yorkwww.cambridge.org",363
Page 7,Contents Introductio n pagevii Chronolo gy xxix Furtherreadin g xxxii Noteonthetext xxx iv Beyond Good and Evil: Prelude to a Philosophy of the Future Preface  PartOntheprejudice sofphilosophe rs  PartThefreespiri t  PartThereligiou scharacte r  PartEpi gramsandentr’acte s  PartOnthenaturalhistor yofmorals  PartWeschola rs  PartOurvirtues  PartPeople sandfatherland s  PartWh atisnoble?  Fromhighmountains :Afte rsong  Glossa ryofname s  Index  v,254
Page 9,"Introduction I Beyond Good and Evil (BGE ) is often considered to be one of Friedrich Nietzsche’s greatest books.Though it is by no means clear what criteria this assessment is based on, it is easy to understand how it comes about. Itseems to be an expression of the feeling that in this book Nietzsche givesthe most comprehensible and detached account of the major themes thatconcerned him throughout his life. Nietzsche was suspicious of almosteverything addressed in this book – whether it be knowledge, truth, phi- losophy , or morality and religion. He regarded them as the source, or atleast the effect, of a misguided tendency in the development of humannature: one that has led to disastrous cultural, social, and psychologicalconsequences. At the same time he lets us share his more constructiveviews as well, mainly his views on how he wants us to perceive the worldand to change our lives in order to live up to this new perception. He speaksof perspectivism, the will to power, of human nobility ( Vornehmheit ) and of the conditions of a life liberated from the constraints of oppressivetradition. In the middle of the book, he even adds a number of short I thank Dartmouth College and especially Sally Sedgwick and Margaret Robinson, whose generous hospitality gave me the opportunity to write this text. Special thanks to Karl Ameriks and GaryHatﬁeld for transforming my “English” into English and to Andreas Kemmerling for helpful suggestions. V ery special thanks to Dina Emundts for all sorts of comments. The version printed here owes much to careful editing by Hilary Gaskin. See, for example, the Introductions to BGE by Walter Kaufmann (Vintage: New Y ork,  )a n d Michael Tanner (Penguin: Harmondsworth,  ; translation R. Hollingdale), and also Kauf- mann, Nietzsche: Philosopher, Psychologist, Antichrist (Meridian Books: New Y ork,  ), and Tanner, Nietzsche (Oxford University Press: Oxford/New Y ork,  ). References for all quota- tions from BGE are to section numbers. vii",517
Page 10,"Introduction aphorisms, and he ends the book with a poem that hints at the artistic background to his concern with decadence and the means for overcomingit. Thus it would seem that the whole range of Nietzsche’s interests, hisprejudices and his preferences, his loathings and his hopes, and above all his deep insights into our situation in the modern world, are united in anexemplary way in BGE , and for this reason it is a great book. Although there is something to be said for this view , it is not the only view that is possible. There are quite a number of thinkers who would in-sist that it makes no sense at all to attribute greatness to any of Nietzsche’sworks. For these readers, all of Nietzsche’s writings are ﬂawed by serious shortcomings that justify fundamental complaints, ranging from accusa-tions that they are utterly irrational, or devoid of informative content, tothe conviction that they contain nothing but silly proclamations based onunwarranted generalizations – or a mixture of both. According to pro- ponents of this view , the best way to think of Nietzsche’s works is as thedisturbing documents of the creative process of someone who was on theverge of madness. To call any of his works great would therefore amountto a categorical mistake. Interestingly enough, this bleak evaluation is notbased on any disagreement with what the work’s admirers tell us we willﬁnd in it, or even any disagreement with the claim that it gives us thequintessential Nietzsche. It is a perplexing fact that it is by no means easy to decide which of these two conﬂicting attitudes towards BGE should prevail, and in the end it may be a rather personal matter. Nevertheless it is possible to identify someconditions that will inﬂuence how we are likely to think about the meritsof this work. Three main factors should be taken into consideration. First,much depends on how we interpret the aims pursued by Nietzsche’s workin general and BGE in particular. Second, our evaluation will depend on the amount of tolerance and sympathy that we are prepared to mobilizetowards Nietzsche the person, and also towards certain tendencies inbourgeois culture in Germany in the second half of the nineteenth century .The third and most important factor, however, is the way that we feel aboutthe very framework in which all our dealings with what we take to be realityare embedded: if we are conﬁdent that our normal outlook on whateverconcerns us has been proven to be ultimately right, or at least on the righttrack, then chances are high that we will end up thinking of NietzscheandBGE as a nuisance. If we are not convinced of the soundness of our normal views, then we might have second thoughts about things, and in viii",605
Page 11,"Introduction that case a book like BGE might be considered illuminating and even helpful. II Let us start with Nietzsche the person. In the history of art, science,philosophy , and even literature one very often ﬁnds that in order to ap-preciate or to evaluate a work it is not much of an advantage to be familiarwith its author and his life: an intellectual or artistic product is betterjudged on its own merits than on the basis of uncertain knowledge aboutthe idiosyncratic features and muddled purposes of its author. Moreover,in some cases authors intentionally withdraw from their products in anattempt to become invisible and to let the work speak for itself, and thusleave us very few personal clues in their works. Rousseau could serve asan example of the ﬁrst kind of case and Kant of the second; Kant goes sofar as to use the phrase de nobis ipsis silemus (“of our own person we will say nothing”) as a motto for his main work. W e therefore tend to believethat a distinction can be drawn between the private views of the authorand the meaning of the work which the author produces. Y et there are some works with respect to which such a consideration does not so easily apply . These are works whose very meaning is tiedintrinsically to the person of their author, as is the case with diaries,letters, personal notes, or autobiographies. Here our knowledge about theauthor, or perhaps an understanding of the situation the author is in, arenecessary ingredients for an appreciation of the text. There are manyreasons to presume that Nietzsche thought of many of his texts as beinglike diaries or personal notes that tell us something about himself andabout his perspective on the matters they address, rather than as productsthat aim at objective, non-personal results. Hence, his biography may beof interest in any attempt to assess his work. Nietzsche’s life is surely not a success story; on the contrary , it is a rather sad story of misery and failure. It is the story of a man who fromthe beginning of his adult life, until the sudden and catastrophic end ofhis productive period, was confronted with embarrassing and humiliatingexperiences. This is true of his private life as well as of his relations withthe intellectual community of his time. He was plagued by ill health, apsychosomatic wreck, suffering from all sorts of diseases ranging fromchronic nervous ailments and severe eye problems, which left him almost ix",522
Page 12,"Introduction blind, to extremely exhausting states of prolonged migraine. These con- ditions made life tolerable for him only in a few places in northern Italy(in the winter) and the Swiss Engadine (in the summer), and it is in theseplaces that he spent most of his time in the  s. His social relations were always, to put it mildly , somewhat complicated. Those who appar-ently cared most about him, his mother and his sister, he found oppressiveand distasteful because they represented a type of personality he deeplydespised. Though he prided himself on being comfortable with women, he does not seem to have been very successful in establishing emotionallysatisfying relationships with them, which is hardly surprising given hisviews on women and on femininity ( Weiblichkeit ) in general. Things did not go much better with his friends. The people whom he called “friends”he quite often spoke of with great resentment: he charged all of them witha lack of sensitivity toward him, he complained that none of them everbothered to study his works, and he accused them of failing to defend himagainst public neglect. In short, he suffered deeply from a sense of soli- tude and isolation, from not being appropriately acknowledged becauseof the supposed imperfections of the people around him. To make things even worse, Nietzsche was not given the opportunity to compensate for the shortcomings of his private life by enjoying insti-tutional and public success in his roles as a university teacher and author.Although he made a very promising start – he was appointed professor of classics at Basle university at the early age of twenty-four – his academiccareer disintegrated rapidly , in part because of his poor health and in partbecause he became annoyed with his teaching duties. As for his fortunesas an author, not much can be said that is positive. His ﬁrst book, thenow highly acclaimed treatise The Birth of Tragedy , did at least attract the attention of classicists (though their reaction to it was for the most See the annihilating remark aimed at both of them in Ecce Homo which culminates in Nietzsche’s pronouncement: “I confess that the deepest objection to the Eternal Recurrence, my real idea fromthe abyss, is always my mother and my sister” ( KSA VI,§ , translation from Tanner, Nietzsche , p.).KSA refers to S¨amtliche Werke: Kritische Studienausgabe , ed. G. Colli and M. Montinari,  vols. (de Gruyter: Berlin,  ); this edition is based on the critical edition of Nietzsche’s works, Werke: Kritische Gesamtausgabe, ed. G. Colli and M. Montinari, vols. to date (de Gruyter: Berlin,  –). Though Nietzsche addresses this topic in BGE as well ( §et seq .), the general tendency of his outlook on women is documented most succinctly in the relevant passage of Ecce Homo (“Why I write such good books,” §). A good example of this assessment of his friends is again to be found in Ecce Homo (“The case of Wagner,” §). x",779
